Date,id,T,U,Po,P,Ff,DD,Td,lat,lon,h,name,U10M,V10M
2009-02-13 11:00:00,71501,-27.0,78.0,1016.4497368421053,1016.5830592105262,1.0,45.0,-29.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.7071067811865475,-0.7071067811865476
2009-02-16 11:00:00,71501,-17.5,86.0,1000.8510197368421,1000.9843421052632,0.0,,-19.3,69.56666666666666,-138.91666666666666,1.0,о.Хершел,,
2010-01-18 23:00:00,71501,-29.8,72.0,1002.850855263158,1003.1175,4.0,315.0,-33.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,2.8284271247461907,-2.8284271247461894
2010-01-19 05:00:00,71501,-30.7,71.0,1004.4507236842104,1004.5840460526317,2.0,337.5,-34.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,0.7653668647301791,-1.8477590650225737
2010-01-19 11:00:00,71501,-28.3,74.0,1004.8506907894737,1004.9840131578948,1.0,0.0,-31.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-1.0
2010-01-19 17:00:00,71501,-27.4,75.0,1004.8506907894737,1004.9840131578948,1.0,157.5,-30.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.3826834323650899,0.9238795325112868
2010-01-19 23:00:00,71501,-29.2,73.0,1005.7839473684213,1005.9172697368422,4.0,0.0,-32.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-4.0
2010-01-20 11:00:00,71501,-33.2,69.0,1006.9838486842107,1007.2504934210525,0.0,,-37.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,,
2010-01-20 23:00:00,71501,-29.6,72.0,1007.5171381578947,1007.6504605263158,2.0,180.0,-33.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-2.4492935982947064e-16,2.0
2010-01-21 11:00:00,71501,-27.2,75.0,1006.1839144736842,1006.4505592105264,5.0,135.0,-30.3,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-3.5355339059327378,3.5355339059327373
2010-01-22 05:00:00,71501,-25.6,77.0,1016.4497368421053,1016.5830592105262,15.0,315.0,-28.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,10.606601717798217,-10.60660171779821
2010-01-22 11:00:00,71501,-23.4,78.0,1021.7826315789473,1022.0492763157896,13.0,315.0,-26.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.19238815542512,-9.192388155425117
2010-01-22 17:00:00,71501,-22.6,79.0,1025.5156578947367,1025.782302631579,10.0,337.5,-25.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.826834323650896,-9.238795325112868
2010-01-22 23:00:00,71501,-21.8,80.0,1028.9820394736844,1029.2486842105263,5.0,315.0,-24.3,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.535533905932738,-3.535533905932737
2010-01-24 05:00:00,71501,-17.5,84.0,1027.7821381578951,1028.0487828947369,8.0,112.5,-19.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-7.391036260090294,3.0614674589207183
2010-01-24 11:00:00,71501,-15.0,87.0,1025.915625,1026.048947368421,1.0,112.5,-16.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.9238795325112868,0.3826834323650897
2010-01-24 17:00:00,71501,-12.9,88.0,1022.8492105263156,1022.9825328947368,4.0,135.0,-14.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-2.8284271247461903,2.82842712474619
2010-01-25 05:00:00,71501,-14.0,88.0,1019.2495065789475,1019.3828289473684,8.0,135.0,-15.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-5.656854249492381,5.65685424949238
2010-01-25 17:00:00,71501,-9.5,91.0,1008.18375,1008.450394736842,12.0,157.5,-10.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-4.592201188381079,11.086554390135438
2010-01-25 23:00:00,71501,-10.0,91.0,1008.0504276315787,1008.18375,2.0,292.5,-11.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,1.8477590650225733,-0.76536686473018
2010-01-26 05:00:00,71501,-12.6,89.0,1008.0504276315787,1008.18375,4.0,337.5,-14.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,1.5307337294603582,-3.6955181300451474
2010-01-26 11:00:00,71501,-14.5,87.0,1010.850197368421,1010.983519736842,5.0,315.0,-16.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.535533905932738,-3.535533905932737
2010-01-26 23:00:00,71501,-12.2,89.0,1019.5161513157893,1019.6494736842103,7.0,315.0,-13.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,4.949747468305834,-4.949747468305832
2010-01-27 05:00:00,71501,-13.8,88.0,1023.3825,,10.0,315.0,-15.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,7.071067811865477,-7.071067811865474
2010-01-27 11:00:00,71501,-13.4,88.0,1026.9822039473684,1027.2488486842103,8.0,337.5,-15.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.0614674589207165,-7.391036260090295
